weekday,day_of_week,fare_amount,trip_distance
1,Sunday,8.0,1.8
1,Sunday,6.0,0.9
1,Sunday,7.5,1.7
1,Sunday,8.5,2.4
1,Sunday,6.0,1.1
1,Sunday,8.5,2.0
1,Sunday,6.0,1.1
1,Sunday,14.5,3.77
1,Sunday,8.0,1.0
1,Sunday,5.5,1.0
1,Sunday,6.5,1.33
1,Sunday,6.0,1.1
1,Sunday,6.0,1.0
1,Sunday,7.5,1.66
1,Sunday,4.0,0.53
1,Sunday,24.0,7.8
1,Sunday,10.5,2.72
1,Sunday,3.5,0.51
1,Sunday,20.5,6.53
1,Sunday,4.5,0.7
1,Sunday,7.5,1.38
1,Sunday,8.0,1.6
1,Sunday,11.0,3.0
1,Sunday,9.5,2.4
1,Sunday,6.5,1.5
1,Sunday,13.5,3.27
1,Sunday,3.5,0.5
1,Sunday,6.5,1.4
1,Sunday,15.0,3.18
1,Sunday,15.0,2.9
1,Sunday,4.5,0.6
1,Sunday,2.5,0.1
1,Sunday,6.5,1.3
1,Sunday,5.0,0.79
1,Sunday,6.5,1.27
1,Sunday,24.5,7.7
1,Sunday,8.0,1.8
1,Sunday,12.5,3.24
1,Sunday,12.0,3.27
1,Sunday,11.0,2.1
1,Sunday,15.5,3.8
1,Sunday,8.0,1.24
1,Sunday,12.5,1.9
1,Sunday,9.5,2.15
1,Sunday,5.0,0.71
1,Sunday,3.5,0.4
1,Sunday,12.0,2.75
1,Sunday,14.5,3.58
1,Sunday,4.5,0.9
1,Sunday,20.0,6.52
1,Sunday,8.0,1.1
1,Sunday,11.0,2.3
1,Sunday,5.0,1.17
1,Sunday,18.5,6.24
1,Sunday,8.0,1.52
1,Sunday,6.0,1.06
1,Sunday,3.5,0.2
1,Sunday,7.0,1.34
1,Sunday,11.0,2.6
1,Sunday,4.5,0.74
1,Sunday,6.0,1.15
1,Sunday,10.0,1.9
1,Sunday,7.0,1.31
1,Sunday,5.5,0.7
1,Sunday,6.5,1.33
1,Sunday,24.5,8.22
2,Monday,10.5,1.84
2,Monday,4.0,0.5
2,Monday,7.5,1.32
2,Monday,12.5,2.3
2,Monday,8.5,1.3
2,Monday,6.0,1.1
2,Monday,8.0,1.28
2,Monday,18.0,3.2
2,Monday,9.5,1.8
2,Monday,6.0,0.86
2,Monday,9.0,1.63
2,Monday,8.5,1.97
2,Monday,13.5,3.25
2,Monday,24.0,5.73
2,Monday,6.0,0.8
2,Monday,17.0,4.6
2,Monday,7.5,1.09
2,Monday,8.5,1.82
2,Monday,6.0,1.0
2,Monday,11.5,2.43
2,Monday,12.5,2.0
2,Monday,7.5,1.31
2,Monday,7.0,0.83
2,Monday,6.5,0.82
2,Monday,5.5,1.0
2,Monday,17.0,4.1
2,Monday,6.0,0.9
2,Monday,6.0,0.9
2,Monday,4.5,0.64
2,Monday,8.5,1.6
2,Monday,8.5,1.75
2,Monday,18.5,4.7
2,Monday,4.5,0.6
2,Monday,5.5,0.9
2,Monday,4.5,0.67
2,Monday,7.0,1.2
2,Monday,8.5,1.1
2,Monday,5.0,0.8
2,Monday,18.5,5.6
2,Monday,18.5,4.4
2,Monday,7.0,1.2
2,Monday,19.5,4.91
2,Monday,5.0,0.93
2,Monday,18.5,3.3
2,Monday,17.0,4.6
2,Monday,5.5,0.6
2,Monday,12.5,2.5
2,Monday,29.0,9.78
2,Monday,13.5,3.7
2,Monday,14.0,4.08
2,Monday,6.0,0.6
2,Monday,3.5,0.3
2,Monday,8.5,1.13
2,Monday,9.0,1.9
2,Monday,8.5,1.8
2,Monday,13.0,2.8
2,Monday,9.5,2.5
2,Monday,5.0,0.6
2,Monday,8.0,1.62
2,Monday,5.0,0.8
2,Monday,8.0,1.32
2,Monday,4.5,0.6
2,Monday,7.5,1.5
2,Monday,8.0,1.12
2,Monday,5.0,0.9
2,Monday,11.0,2.89
2,Monday,4.0,0.75
2,Monday,8.5,2.1
2,Monday,6.0,0.69
2,Monday,5.0,0.78
2,Monday,13.0,3.5
2,Monday,6.5,1.4
2,Monday,7.5,1.3
2,Monday,18.5,4.65
3,Tuesday,7.5,1.4
3,Tuesday,7.0,1.54
3,Tuesday,5.5,0.91
3,Tuesday,6.0,0.9
3,Tuesday,10.5,2.1
3,Tuesday,5.0,0.7
3,Tuesday,25.0,5.11
3,Tuesday,13.0,2.6
3,Tuesday,6.5,1.4
3,Tuesday,6.5,0.81
3,Tuesday,7.5,1.4
3,Tuesday,15.0,3.07
3,Tuesday,8.5,1.6
3,Tuesday,10.5,2.55
3,Tuesday,9.0,1.0
3,Tuesday,12.5,2.96
3,Tuesday,2.5,0.1
3,Tuesday,10.0,1.02
3,Tuesday,7.5,1.7
3,Tuesday,11.5,3.0
3,Tuesday,4.5,0.54
3,Tuesday,6.5,1.0
3,Tuesday,13.0,3.25
3,Tuesday,9.5,1.7
3,Tuesday,5.0,0.74
3,Tuesday,6.5,1.1
3,Tuesday,5.5,0.55
3,Tuesday,11.5,2.63
3,Tuesday,13.5,2.5
3,Tuesday,4.0,0.5
3,Tuesday,4.5,0.8
3,Tuesday,5.5,1.02
3,Tuesday,7.0,1.1
3,Tuesday,8.5,1.51
3,Tuesday,5.0,0.6
3,Tuesday,9.0,1.8
3,Tuesday,7.5,1.09
3,Tuesday,10.0,1.3
3,Tuesday,5.5,0.9
3,Tuesday,7.0,0.8
3,Tuesday,9.0,1.5
3,Tuesday,17.0,3.82
3,Tuesday,6.0,1.05
3,Tuesday,6.0,1.08
3,Tuesday,5.5,0.6
3,Tuesday,15.0,2.64
3,Tuesday,4.5,0.3
3,Tuesday,6.0,0.73
3,Tuesday,13.5,2.78
3,Tuesday,9.0,1.18
3,Tuesday,5.5,0.7
